"covariate","rho","correlation","lo","hi"
"Inflation",0.17,-0.363846517535903,-0.717684664238999,0.0837615180457203
"Inflation",0.175,-0.359048710173434,NA,NA
"Inflation",0.18,-0.354577029277088,NA,NA
"Inflation",0.185,-0.3504098558727,NA,NA
"Inflation",0.19,-0.346527169142596,-0.711000263526203,0.101921678362405
"Inflation",0.195,-0.342910417904441,-0.708077534479677,0.105565214704787
"Inflation",0.2,-0.33954240228785,-0.705311967633403,0.108918957449306
"Inflation",0.205,-0.33640716507672,NA,NA
"Inflation",0.21,-0.333489892105343,NA,NA
"Inflation",0.215,-0.330776821062935,NA,NA
"Inflation",0.22,-0.328255158058761,-0.697260432624188,0.120121083181672
"Inflation",0.225,-0.325913001317181,-0.69606769277122,0.122323520922932
"Inflation",0.23,-0.323739271401391,-0.694959507163046,0.124284391265936
"Inflation",0.235,-0.321723647400859,NA,NA
"Inflation",0.24,-0.319856508557126,NA,NA
"Inflation",0.245,-0.318128880843162,NA,NA
"Inflation",0.25,-0.316532388051473,-0.69211595438164,0.130668903289711
"Inflation",0.255,-0.315059206984523,-0.691656197898839,0.132245487911261
"Inflation",0.26,-0.313702026377232,-0.690601689120093,0.133970648298405
"Inflation",0.265,-0.312454009215113,-0.689590418577841,0.135427093280047
"Inflation",0.27,-0.311308758142724,-0.689277351140447,0.136401980607126
"Inflation",0.275,-0.310260283685709,-0.689135432315981,0.137264267549326
"Inflation",0.28,-0.309302975035779,-0.688913546869541,0.138021518359948
"Inflation",0.285,-0.308431573171667,NA,NA
"Inflation",0.29,-0.307641146110576,NA,NA
"Inflation",0.295,-0.306927066104053,NA,NA
"Inflation",0.3,-0.306284988609767,-0.689181908399389,0.143133393383625
"Inflation",0.305,-0.305710832886499,-0.689318062966983,0.143793796635767
"Inflation",0.31,-0.305200764073889,-0.689477843063223,0.144191587133323
"Inflation",0.315,-0.304751176631393,-0.689656510521968,0.144329738202447
"Inflation",0.32,-0.304358679022443,-0.689853519368111,0.144343927583308
"Inflation",0.325,-0.304020079540276,-0.68995212160656,0.144280004721981
"Inflation",0.33,-0.303732373181321,-0.689944985968619,0.144185534585369
"Inflation",0.335,-0.303492729480498,-0.689964842894842,0.144062600338982
"Inflation",0.34,-0.3032984812305,-0.690008797101945,0.143913145928805
"Inflation",0.345,-0.303147114013993,NA,NA
"Inflation",0.35,-0.303036256483992,NA,NA
"Inflation",0.355,-0.302963671333268,NA,NA
"Inflation",0.36,-0.302927246898813,NA,NA
"Inflation",0.365,-0.302924989351998,-0.690539754321985,0.143328301191392
"Inflation",0.37,-0.302955015429267,-0.690701573649725,0.142872679077857
"Inflation",0.375,-0.303015545662048,-0.690875300460022,0.14226281569486
"Inflation",0.38,-0.303104898067995,-0.691063384980592,0.141957494824114
"Inflation",0.385,-0.30322148226884,-0.691266037735438,0.141638326486327
"Inflation",0.39,-0.303363794003007,-0.691442869463954,0.141306308344795
"Inflation",0.395,-0.303530410003701,-0.69147238136833,0.14096237560001
"Inflation",0.4,-0.303719983215635,-0.691524576660712,0.140607405166361
"Tertiary_attain",0.01,-0.0370231842761011,-0.336771682689938,0.28609737787908
"Tertiary_attain",0.015,-0.0225548474062138,-0.378343433489105,0.338038430651304
"Tertiary_attain",0.02,-0.0218747414203818,-0.42395847989217,0.369734633250449
"Tertiary_attain",0.025,-0.029525397976838,-0.460005338461396,0.389965398515809
"Tertiary_attain",0.03,-0.0414387219992762,-0.49341496429028,0.399517751315876
"Tertiary_attain",0.035,-0.0552690533773199,-0.515018561385042,0.409478658516115
"Tertiary_attain",0.04,-0.069688268609709,-0.536352688287467,0.411761086263586
"Tertiary_attain",0.045,-0.0839543440557524,NA,NA
"Tertiary_attain",0.05,-0.0976666719803337,-0.559281456875934,0.404144937725904
"Tertiary_attain",0.055,-0.110624935196299,-0.567773019001207,0.399056255508552
"Tertiary_attain",0.06,-0.12274608369121,NA,NA
"Tertiary_attain",0.065,-0.134014842268105,-0.579567588623227,0.384857893347135
"Tertiary_attain",0.07,-0.144454003111768,NA,NA
